Field,Type,Graph,Nodes,Edges,Finished,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
BN,CSP,29.wcsp,82,380,Yes,0,mcs,0,1,16,16,16,0.009,1,1,55,55,55,0.009,1,1,344868,344868,344868,0.009,
BN,CSP,29.wcsp,82,380,No,0,mcs,0,1,16,16,16,0.003,1,1,55,55,55,0.003,1,1,344868,344868,344868,0.003,
BN,CSP,29.wcsp,82,380,No,3,mcs,0,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.006,1,1,55,55,55,0.006,1,1,344868,344868,344868,0.006,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.005,1,1,55,55,55,0.005,1,1,344868,344868,344868,0.005,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.005,1,1,55,55,55,0.005,1,1,344868,344868,344868,0.005,
BN,CSP,29.wcsp,82,380,No,0,mcs,1,1,16,16,16,0.001,1,1,55,55,55,0.001,1,1,344868,344868,344868,0.001,
